id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
9925,,11.5589,24.3025,21,0,0,0,0,0,0,0,0
9930,,3.3319,18.9764,21,0,0,0,0,0,0,0,0
9935,,-4.8061,25.0003,21,0,0,0,0,0,0,0,0
9940,,-7.1239,29.6369,21,0,0,0,0,0,0,0,0
9945,,-2.8539,32.0883,21,0,0,0,0,0,0,0,0
9950,,-2.2094,35.0858,21,0,0,0,0,0,0,0,0
9955,,46.1782,38.8412,21,0,0,0,0,0,0,0,0
9960,,45.5131,40.6072,21,0,0,0,0,0,0,0,0
9965,,45.2292,40.9692,21,0,0,0,0,0,0,0,0
9970,,45.0011,41.0889,21,0,0,0,0,0,0,0,0
9975,,49.528,40.6628,21,0,0,0,0,0,0,0,0
9980,,48.3598,39.3852,21,0,0,0,0,0,0,0,0
9985,,46.0019,40.2255,21,0,0,0,0,0,0,0,0
9990,,46.6939,41.3122,21,0,0,0,0,0,0,0,0
9995,,19.6006,41.7967,21,0,0,0,0,0,0,0,0
99100,,20.4928,41.3311,21,0,0,0,0,0,0,0,0
99105,,19.8631,40.0397,21,0,0,0,0,0,0,0,0
99110,,46.0019,40.2255,21,0,0,0,0,0,0,0,0
99115,,45.82,39.5497,21,0,0,0,0,0,0,0,0
99120,,43.7519,40.74,21,0,0,0,0,0,0,0,0
99125,,45.0453,41.0353,21,0,0,0,0,0,0,0,0
99130,,45.2453,40.9769,21,0,0,0,0,0,0,0,0
99135,,45.5731,40.6325,21,0,0,0,0,0,0,0,0
99140,,13.9975,-5.8486,21,0,0,0,0,0,0,0,0
99145,,19.5389,-6.9966,21,0,0,0,0,0,0,0,0
99150,,22.3122,-10.3644,21,0,0,0,0,0,0,0,0
99155,,22.0002,-16.1717,21,0,0,0,0,0,0,0,0
99160,,18.4515,-17.3898,21,0,0,0,0,0,0,0,0
99165,,11.8108,-15.9931,21,0,0,0,0,0,0,0,0
99170,,12.9844,-9.0875,21,0,0,0,0,0,0,0,0
99175,,13.0889,-4.6625,21,0,0,0,0,0,0,0,0
99180,,12.779,-4.389,21,0,0,0,0,0,0,0,0
99185,,-170.54,-14.2839,21,0,0,0,0,0,0,0,0
99190,,-170.6373,-14.2894,21,0,0,0,0,0,0,0,0
99195,,-169.6256,-14.1897,21,0,0,0,0,0,0,0,0
99200,,-169.6909,-14.1675,21,0,0,0,0,0,0,0,0
99205,,-68.6361,-54.8048,21,0,0,0,0,0,0,0,0
99210,,-63.8136,-54.7314,21,0,0,0,0,0,0,0,0
99215,,-65.3539,-54.9292,21,0,0,0,0,0,0,0,0
99220,,-61.8789,-39.2425,21,0,0,0,0,0,0,0,0
99225,,-62.1328,-39.0189,21,0,0,0,0,0,0,0,0
99230,,-64.5906,-22.2147,21,0,0,0,0,0,0,0,0
99235,,-61.0078,-23.8133,21,0,0,0,0,0,0,0,0
99240,,-54.6983,-26.4383,21,0,0,0,0,0,0,0,0
99245,,-57.608,-30.1849,21,0,0,0,0,0,0,0,0
99250,,-58.532,-33.5169,21,0,0,0,0,0,0,0,0
99255,,-56.7417,-36.3183,21,0,0,0,0,0,0,0,0
99260,,-62.3814,-38.7986,21,0,0,0,0,0,0,0,0
99265,,-62.1839,-40.6297,21,0,0,0,0,0,0,0,0
99270,,-64.452,-42.4458,21,0,0,0,0,0,0,0,0
99275,,-64.9606,-42.6664,21,0,0,0,0,0,0,0,0
99280,,-65.6047,-45.0164,21,0,0,0,0,0,0,0,0
99285,,-65.7794,-47.1894,21,0,0,0,0,0,0,0,0
99290,,-67.8972,-49.9858,21,0,0,0,0,0,0,0,0
99295,,-69.1836,-50.9706,21,0,0,0,0,0,0,0,0
99300,,-69.9983,-51.9964,21,0,0,0,0,0,0,0,0
99305,,-73.5836,-49.5381,21,0,0,0,0,0,0,0,0
99310,,-71.8686,-47.2217,21,0,0,0,0,0,0,0,0
99315,,-72.0786,-44.7694,21,0,0,0,0,0,0,0,0
99320,,-72.1369,-43.0092,21,0,0,0,0,0,0,0,0
99325,,-71.4014,-38.9203,21,0,0,0,0,0,0,0,0
99330,,-69.8125,-34.2356,21,0,0,0,0,0,0,0,0
99335,,-70.0314,-29.3064,21,0,0,0,0,0,0,0,0
99340,,-68.352,-25.1172,21,0,0,0,0,0,0,0,0
99345,,-66.223,-21.7805,21,0,0,0,0,0,0,0,0
99350,,158.8822,-54.7114,21,0,0,0,0,0,0,0,0
99355,,147.4297,-43.2536,21,0,0,0,0,0,0,0,0
99360,,148.0142,-42.7531,21,0,0,0,0,0,0,0,0
99365,,148.3191,-42.3128,21,0,0,0,0,0,0,0,0
99370,,148.3655,-42.215,21,0,0,0,0,0,0,0,0
99375,,146.9167,-43.6178,21,0,0,0,0,0,0,0,0
99380,,145.5519,-42.3442,21,0,0,0,0,0,0,0,0
99385,,144.9241,-40.6153,21,0,0,0,0,0,0,0,0
99390,,148.2158,-40.5019,21,0,0,0,0,0,0,0,0
